[05/07/20]seed@VM:~/tmp$ sudo ./task2_1B 
192.168.41.144 -> 192.168.41.1
192.168.41.1 -> 192.168.41.144
192.168.41.140 -> 8.8.8.8
8.8.8.8 -> 192.168.41.140
192.168.41.140 -> 192.168.41.1
192.168.41.1 -> 192.168.41.140
0.8.192.168 -> 41.1.0.0
192.168.41.140 -> 8.8.8.8
192.168.41.144 -> 192.168.41.1
192.168.41.144 -> 192.168.41.1
192.168.41.1 -> 192.168.41.144
192.168.41.144 -> 192.168.41.1
192.168.41.144 -> 192.168.41.1
192.168.41.1 -> 192.168.41.144
192.168.41.144 -> 192.168.41.1
192.168.41.144 -> 192.168.41.1
192.168.41.1 -> 192.168.41.144
8.8.8.8 -> 192.168.41.140
192.168.41.140 -> 192.168.41.1
192.168.41.1 -> 192.168.41.140
0.8.192.168 -> 41.1.0.0
192.168.41.140 -> 8.8.8.8
192.168.41.144 -> 192.168.41.1
8.8.8.8 -> 192.168.41.140
192.168.41.140 -> 192.168.41.1
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.140
192.168.41.140 -> 192.168.41.1
54.86.192.168 -> 41.140.0.0
179.215.192.168 -> 41.2.0.12
0.8.192.168 -> 41.1.0.0
192.168.41.140 -> 8.8.8.8
8.8.8.8 -> 192.168.41.140
192.168.41.140 -> 192.168.41.1

